Date,Open,High,Low,Close,Volume,Adj Close,Var,Lag1,Lag2,Lag3,Lag4,Numeric_date
18/05/2012,0.35238,0.35921,0.34164,0.34457,1178900,0.34457,-0.04593532,-0.031431023,-0.012918255,-0.034898574,-0.031402341,41047
21/05/2012,0.34945,0.35433,0.34262,0.3475,465600,0.3475,0.008503352,-0.04593532,-0.031431023,-0.012918255,-0.034898574,41050
22/05/2012,0.34847,0.35335,0.34847,0.3514,224200,0.3514,0.011223022,0.008503352,-0.04593532,-0.031431023,-0.012918255,41051
23/05/2012,0.35433,0.35433,0.33871,0.33871,448400,0.33871,-0.036112692,0.011223022,0.008503352,-0.04593532,-0.031431023,41052
24/05/2012,0.34945,0.34945,0.33676,0.34164,430100,0.34164,0.008650468,-0.036112692,0.011223022,0.008503352,-0.04593532,41053
25/05/2012,0.34457,0.35823,0.34262,0.3514,353600,0.3514,0.028568083,0.008650468,-0.036112692,0.011223022,0.008503352,41054
28/05/2012,0.34262,0.3514,0.34262,0.34847,142400,0.34847,-0.008338076,0.028568083,0.008650468,-0.036112692,0.011223022,41057
29/05/2012,0.35823,0.35823,0.34554,0.34945,609800,0.34945,0.002812294,-0.008338076,0.028568083,0.008650468,-0.036112692,41058
30/05/2012,0.35043,0.36507,0.34652,0.35238,269300,0.35238,0.008384604,0.002812294,-0.008338076,0.028568083,0.008650468,41059
31/05/2012,0.34945,0.36507,0.34945,0.36116,298100,0.36116,0.024916284,0.008384604,0.002812294,-0.008338076,0.028568083,41060
01/06/2012,0.36311,0.3719,0.35628,0.3719,313400,0.3719,0.029737512,0.024916284,0.008384604,0.002812294,-0.008338076,41061
04/06/2012,0.37288,0.39825,0.37288,0.39337,1033400,0.39337,0.057730573,0.029737512,0.024916284,0.008384604,0.002812294,41064
05/06/2012,0.39825,0.42754,0.39728,0.41094,1162800,0.41094,0.044665328,0.057730573,0.029737512,0.024916284,0.008384604,41065
06/06/2012,0.41094,0.44023,0.41094,0.43535,1600000,0.43535,0.059400399,0.044665328,0.057730573,0.029737512,0.024916284,41066
07/06/2012,0.43535,0.43535,0.41387,0.42363,709600,0.42363,-0.026920868,0.059400399,0.044665328,0.057730573,0.029737512,41067
08/06/2012,0.4168,0.42949,0.40314,0.41387,852400,0.41387,-0.023038973,-0.026920868,0.059400399,0.044665328,0.057730573,41068
11/06/2012,0.43047,0.44023,0.41973,0.41973,653800,0.41973,0.014159035,-0.023038973,-0.026920868,0.059400399,0.044665328,41071
12/06/2012,0.40118,0.42071,0.40118,0.41582,344300,0.41582,-0.009315512,0.014159035,-0.023038973,-0.026920868,0.059400399,41072
13/06/2012,0.41192,0.42949,0.41094,0.42461,630500,0.42461,0.021138954,-0.009315512,0.014159035,-0.023038973,-0.026920868,41073
14/06/2012,0.42559,0.4412,0.42071,0.4412,1086400,0.4412,0.039071148,0.021138954,-0.009315512,0.014159035,-0.023038973,41074
15/06/2012,0.4412,0.48611,0.4412,0.48025,2312500,0.48025,0.088508613,0.039071148,0.021138954,-0.009315512,0.014159035,41075
18/06/2012,0.48806,0.50758,0.48806,0.49196,2811900,0.49196,0.024383134,0.088508613,0.039071148,0.021138954,-0.009315512,41078
19/06/2012,0.50465,0.50465,0.48806,0.50075,746500,0.50075,0.017867306,0.024383134,0.088508613,0.039071148,0.021138954,41079
20/06/2012,0.5027,0.5066,0.49294,0.49391,668000,0.49391,-0.013659511,0.017867306,0.024383134,0.088508613,0.039071148,41080
21/06/2012,0.49879,0.50368,0.49099,0.49489,446800,0.49489,0.001984167,-0.013659511,0.017867306,0.024383134,0.088508613,41081
22/06/2012,0.48903,0.50172,0.48903,0.49879,719700,0.49879,0.007880539,0.001984167,-0.013659511,0.017867306,0.024383134,41082
25/06/2012,0.50465,0.50856,0.49684,0.49879,485800,0.49879,0,0.007880539,0.001984167,-0.013659511,0.017867306,41085
26/06/2012,0.50172,0.50172,0.48415,0.49001,683700,0.49001,-0.017602598,0,0.007880539,0.001984167,-0.013659511,41086
27/06/2012,0.48806,0.49684,0.48513,0.49294,1071900,0.49294,0.00597947,-0.017602598,0,0.007880539,0.001984167,41087
28/06/2012,0.49294,0.49294,0.48318,0.48513,449000,0.48513,-0.015843713,0.00597947,-0.017602598,0,0.007880539,41088
