"","X36963L","X99.972608055168","X99.972608055168","X100.027391944832"
"36",37012,99.4109096110584,100.278470219841,99.7206289952692
"37",37013,99.2599534590242,100.430743768644,99.5692025322135
"38",37014,99.2043923909796,100.48696019021,99.5134683610371
"39",37015,99.2127394541354,100.495415168693,99.5050952922118
"40",37018,99.1749962927901,100.457184043436,99.5429496734833
"41",37019,99.1842438535926,100.466551161684,99.5336678029114
"42",37020,99.2130128554436,100.437410218687,99.5625381573347
"43",37021,99.175355546109,100.475532260509,99.5247481821124
"44",37022,99.0978107645703,100.554093644597,99.4469302119829
"45",37025,98.9927173240445,100.660731476235,99.3414665295356
"46",37026,99.1807933060649,100.851976513598,99.1527279598919
"47",37027,99.4917413454328,100.535789041025,99.4635880098005
"48",37028,99.4914364278568,100.535480923701,99.4638928410935
"49",37029,99.4820337086711,100.54498231326,99.4544927249922
"50",37032,99.4913981375175,100.535517827085,99.4638545613546
"51",37033,99.5021102503733,100.546342358985,99.4531454140808
"52",37034,99.6633506141022,100.709274871399,99.2919843964883
"53",37035,99.6734205441623,100.71945048107,99.2819519890663
"54",37036,99.7574016698519,100.63458800937,99.3656032778771
"55",37039,99.7958212987992,100.595830549112,99.4038720132708
"56",37040,99.8042698104584,100.604346787931,99.3954566832425
"57",37041,99.7381666400087,100.537713704032,99.4612890852784
"58",37042,99.7671418054402,100.56692114773,99.4323943561856
"59",37043,99.7704354893144,100.56360106017,99.4356769888033
"60",37046,99.8274238279907,100.506159669565,99.4924741152161
"61",37047,99.8389098268401,100.494595576353,99.5039215752364
"62",37048,99.8190255682307,100.514610423577,99.4841040340325
"63",37049,99.798964059964,100.534811729656,99.4641098378948
"64",37050,99.7706924077916,100.563291837192,99.4359330452451
"65",37053,99.7048385742736,100.629668827457,99.3703001702751
"66",37054,99.6001946094987,100.735283436243,99.2660073160929
"67",37055,99.6097343526582,100.744931898626,99.256499581515
"68",37056,99.5031685030269,100.637151576416,99.3626875286877
"69",37057,99.6073595176201,100.531773153937,99.4667314438923
"70",37060,99.5783450991635,100.502489464975,99.4957048990928
"71",37061,99.5885905149402,100.512829964108,99.4854679860002
"72",37062,99.4834074283579,100.406670717932,99.5905421570347
"73",37063,99.4915135935072,100.41485211296,99.5824272622709
"74",37064,99.5100080735032,100.433518232377,99.5639158823306
"75",37067,99.4631791452052,100.386254704667,99.6107701793826
"76",37068,99.3514025434461,100.273440751698,99.7227126437693
"77",37069,99.3517293681939,100.273110893829,99.7230406899727
"78",37070,99.4284870877684,100.35058045954,99.6459961006025
"79",37071,99.4408329286483,100.363040794952,99.6336232520537
"80",37074,99.4317513722719,100.372206573096,99.6245240888638
"81",37075,99.4423417376616,100.382897105324,99.6139131914663
"82",37076,99.461411117651,100.363647361444,99.6330154725439
"83",37077,99.4899924610658,100.334806750403,99.6616461283799
"84",37078,99.4343858786851,100.390885513294,99.6059436059598
"85",37081,99.4331943685449,100.392088485053,99.6047500400642
"86",37082,99.5459603274982,100.505941913993,99.4917895219405
"87",37083,99.6517463908178,100.399135692019,99.5975180187226
"88",37084,99.4821622528715,100.22827967099,99.7670098725689
"89",37085,99.4438356364673,100.26689373748,99.7285735154312
"90",37088,99.3975364174843,100.313576157162,99.6821417277341
"91",37089,99.4265494915592,100.284295700918,99.7112378750445
"92",37090,99.4084416194148,100.302559788468,99.6930781545671
"93",37091,99.3995016095312,100.311580208276,99.6841125467222
"94",37092,99.4265411767873,100.338867887547,99.6569955569796
"95",37095,99.398224623676,100.367444270151,99.6286133707524
"96",37096,99.379132223593,100.348165702464,99.6477500238807
"97",37097,99.4268934931703,100.396392686203,99.5998596575113
"98",37098,99.4925789479922,100.462718631673,99.5340599341975
"99",37099,99.5703246069873,100.384214884488,99.6118380073348
"100",37102,99.5608325407484,100.374645229867,99.6213340310576
"101",37103,99.5426911014033,100.392934957783,99.6031815674564
"102",37104,99.5323463307532,100.403368088287,99.5928305104583
"103",37105,99.5517832815059,100.422975134568,99.5733817481883
"104",37106,99.5048956925667,100.470273043485,99.5264839866536
"105",37109,99.5338051727026,100.441083089135,99.5553997389065
"106",37110,99.5526013174889,100.422115612337,99.57419996165
"107",37111,99.5335893071885,100.441293677713,99.5551838265589
"108",37112,99.5454922570826,100.429282177935,99.5670893588825
"109",37113,99.4895823772472,100.485688439747,99.5111673490015
"110",37116,99.5562654206695,100.418337754726,99.5778648597838
"111",37117,99.5549041363897,100.419710826567,99.5765032801637
"112",37118,99.5450461989822,100.409767255907,99.5863633563207
"113",37119,99.0678436434771,99.9284193700825,100.063763979473
"114",37120,98.5673231908274,100.433287709356,99.5582118386481
"115",37123,98.5866924886022,100.453023684659,99.538647823023
"116",37124,98.5946593021365,100.444906052467,99.5466915642891
"117",37125,98.6047993640246,100.455236404749,99.5364535897339
"118",37126,98.6519028558503,100.503223849958,99.4889050468814
"119",37127,98.5572603468617,100.599642438867,99.3934595530025
"120",37130,98.5856717878951,100.570642233311,99.4221120480623
"121",37131,98.5216959737682,100.635906166674,99.3575934375468
"122",37132,98.5402486479777,100.654856968956,99.3388833550307
"123",37133,98.5224553720585,100.673032076765,99.3209458707509
"124",37134,98.5322958694535,100.683087375389,99.3110256195206
"125",37137,98.5697021432965,100.721310164216,99.27332371288
"126",37138,98.5080113923934,100.658272809726,99.335454831787
