"","X36963L","X100.027627494044","X99.9723725059556","X100.027627494044"
"98",37098,100.190466074445,100.391891492823,99.6027400907718
"99",37099,100.189024632871,100.390447153338,99.6041730767247
"100",37102,100.179527787288,100.399963091617,99.5947316688003
"101",37103,100.189706566059,100.389761915433,99.6048510291408
"102",37104,100.152433117812,100.35241404085,99.6419068943317
"103",37105,100.133875456824,100.333819324566,99.6603699577912
"104",37106,100.133509483779,100.333452620758,99.6607342002515
"105",37109,100.133931970534,100.333029290396,99.6611546922567
"106",37110,100.12450174112,100.323580310761,99.6705403973204
"107",37111,100.143442781371,100.304601609847,99.6893955594897
"108",37112,100.164557995675,100.283452415252,99.7104150380761
"109",37113,100.222737984785,100.225203367025,99.768331240944
"110",37116,100.279680107503,100.282146890464,99.7116472920201
"111",37117,100.269063586719,100.292763672404,99.7010909083664
"112",37118,100.240111213917,100.263804456278,99.7298792808664
